id_profilo,id_competenza,titolo,descrizione,risultato
1021,24010102101,"Coordinare gli interventi selvicolturali e di taglio delle piante nel cantiere forestale","L’istruttore forestale in abbattimento e allestimento opera con alta specializzazione nel settore forestale con competenze nelle utilizzazioni  orestali e nelle metodologie didattiche per il trasferimento del proprio sapere professionale, organizza e gestisce un cantiere forestale con ruoli di  esponsabilitàin materia di sicurezza sul lavoro; conosce le procedure e le tecniche di abbattimento, allestimento, concentramento ed esbosco conosce caratteristiche, modalità d’impiego ed esigenze di manutenzione delle macchine ed attrezzature impiegate nelle operazioni forestali.",
1021,24010102102,"Organizzare e gestire un cantiere forestale didattico","Organizzare e gestire un cantiere forestale didattico",
1021,24010102103,"Gestire la manutenzione dei macchinari e degli attrezzi forestali","Gestire la manutenzione dei macchinari e degli attrezzi forestali",
1021,24010102104,"Realizzare interventi formativi in ambito forestale","Realizzare interventi formativi in ambito forestale",
1021,24010102105,"Organizzare ed eseguire in autonomia le operazioni di abbattimento ed allestimento in un cantiere forestale","Organizzare ed eseguire in autonomia le operazioni di abbattimento ed allestimento in un cantiere forestale",
1021,24010102106,"Esecuzione delle operazioni di manutenzione di macchinari, attrezzature e DPI","Esecuzione delle operazioni di manutenzione di macchinari, attrezzature e DPI",
1021,24010102107,"Organizzare ed eseguire in autonomia le operazioni di esbosco a strascico in un cantiere forestale. Carico del legname sui veicoli destinati al trasporto","Organizzare ed eseguire in autonomia le operazioni di esbosco a strascico in un cantiere forestale. Carico del legname sui veicoli destinati al trasporto",
1021,24010102108,"Eseguire la manutenzione ordinaria dei macchinari e delle attrezzature, realizzando il controllo, la pulizia e la verifica degli stessi","Eseguire la manutenzione ordinaria dei macchinari e delle attrezzature, realizzando il controllo, la pulizia e la verifica degli stessi",
1021,24010102109,"Organizzare le risorse del cantiere forestale provvedendo al monitoraggio del processo di approvvigionamento dei materiali, verificando, inoltre l'idoneità generale di attrezzature, macchinari e dei dispositivi di protezione individuale","Collaborare alla progettazione e realizzazione di attività formative in ambito forestale.",
1021,24010102110,"Eseguire il controllo dei lavori in corso d'opera, monitorando i rischi potenziali degli interventi e provvedendo alla supervisione diretta dei lavori valutati oltre lo standard di sicurezza o ritenuti di particolare complessità","Eseguire il controllo dei lavori in corso d'opera, monitorando i rischi potenziali degli interventi e provvedendo alla supervisione diretta dei lavori valutati oltre lo standard di sicurezza o ritenuti di particolare complessità",
1021,24010102111,"Curare il trasferimento delle abilità operative e delle conoscenze necessarie per eseguire gli interventi forestali, illustrando le diverse tecniche e provvedendo ad eseguire dimostrazioni dirette delle varie procedure ","Curare il trasferimento delle abilità operative e delle conoscenze necessarie per eseguire gli interventi forestali, illustrando le diverse tecniche e provvedendo ad eseguire dimostrazioni dirette delle varie procedure ",
1022,24010102201,"Allevamento delle api","Apiario e allevamento di api sviluppati e gestiti in sicurezza nel rispetto degli standard igienico-sanitari previsti Realizzare le fasi preliminari per l'avvio dell'allevamento, scegliendo la tipologia di arnia, impiantando le colonie e valutando il luogo e le dimensioni dell'apiario da realizzare Gestire l'apiario eseguendo i trattamenti sanitari e gli interventi di bilanciamento delle famiglie, effettuando gli spostamenti degli alveari sulla base delle esigenze produttive, gestendo le famiglie produttive ed effettuando i controlli ed i trattamenti necessari al mantenimento delle adeguate condizioni igienico-sanitarie di questi",
