id_profilo,titolo,descrizione,liv_eqf,settore,ada_1,ada_2,ada_3,ada_4,ada_5,ada_6,ada_7,ada_8,ada_9,ada_10,ada_11,ada_12,ada_13,ada_14,ada_15,ada_16,ada_17,ada_18,ada_19,ada_20,ada_21,ada_22,ada_23,ada_24,ada_25,ada_26,ada_27,ada_28,ada_29,ada_30,ada_31,ada_32,ada_33,ada_34,ada_35,ada_36,ada_37,ada_38,ada_39,ada_40,ada_41,ada_42,ada_43,ada_44,ada_45,ada_46,ada_47
1021,"ISTRUTTORE FORESTALE DI ABBATTIMENTO E ALLESTIMENTO",,5,1,"ADA.01.01.18","ADA.01.01.21","ADA.01.01.22","ADA.01.01.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,"Operatore dell'allevamento di api e di produzione del miele",,3,1,"ADA.01.03.09","ADA.01.03.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,"OPERATORE FORESTALE",,3,1,"ADA.01.01.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,"OPERATORE IDRAULICO FORESTALE",,3,1,"ADA.01.01.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"Operatore per l'innesto e la potatura",,3,1,"ADA.01.01.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Operatore per la conduzione di macchine motrici e l'impiego di macchine operatrici",,3,1,"ADA.01.01.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"Operatore per la cura, la preparazione ed allenamento del cavallo",,3,1,"ADA.01.03.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Operatore per la realizzazione e manutenzione di giardini",,3,1,"ADA.01.01.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Responsabile della gestione e del controllo degli aspetti produttivi dell'impresa agricola",,5,1,"ADA.01.01.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,"Tecnico colture biologiche","Il tecnico colture biologiche è specializzato nella ricerca e nell’applicazione delle tecniche dell’agricoltura biologica, cioè del metodo di produzione definito dal Regolamento CEE 2092/91, sostituito successivamente dai Reg. CE 834/07 e 889/08 e a livello nazionale dal D.M. 18354/09. Il termine agricoltura biologica indica un metodo di coltivazione e di allevamento che ammette solo l'impiego di sostanze naturali, presenti cioè in natura,  escludendo l'utilizzo di sostanze di sintesi chimica (concimi, diserbanti, insetticidi). Sviluppa un modello di produzione che evita lo sfruttamento eccessivo delle risorse naturali, in particolare del suolo, dell'acqua e dell'aria, utilizzando invece tali risorse all’interno di un modello di sviluppo che possa durare nel tempo. Per salvaguardare la fertilità naturale del terreno, gli agricoltori biologici utilizzano materiale organico e, ricorrendo ad appropriate tecniche agricole, non lo sfruttano in modo intensivo. In agricoltura biologica non si utilizzano sostanze chimiche di sintesi (concimi, diserbanti, anticrittogamici, insetticidi, pesticidi in genere). Alla difesa delle colture si provvede in via preventiva selezionando specie resistenti alle malattie e intervenendo con tecniche di coltivazione appropriate, come ad esempio la rotazione delle colture, la piantumazione di siepi ed alberi che danno ospitalità ai predatori naturali dei parassiti; la consociazione cioè coltivando in parallelo piante sgradite l'una ai parassiti dell'altra. In agricoltura biologica si usano fertilizzanti naturali come il letame ed altre sostanze organiche compostate o incorporazioni di vegetali nel terreno. Per la difesa delle colture si interviene con sostanze naturali vegetali, animali o minerali: estratti di piante, insetti utili che predano i parassiti, farina di roccia o minerali naturali per correggere struttura e caratteristiche chimiche del terreno e per difendere le coltivazioni dalle crittogame. Questa figura possiede conoscenze in agronomia, biologia, chimica, genetica vegetale, patologia vegetale ed entomologia. Progetta metodi basati sull’impiego selettivo di prodotti chimici a bassa tossicità e ad effetto mirato con utilizzo di metodologie operative basate su criteri biologici. Applica le tecniche biologiche organizzando e gestendo programmi di intervento nelle singole aziende agricole. Consiglia tecniche e materiali che garantiscano produttività, genuinità e tutela ambientale, operando sul fronte della ricerca e della applicazione intensiva. Studia l’applicazione sulle piante di quei prodotti chimici e/o biologici che rispettano l’equilibrio ambientale. Vaglia le opportunità di inserimento e l’utilizzo di insetti utili, in alternativa all’uso di fitofarmaci e verifica la resistenza di nuove varietà di piante alle diverse malattie e all’assalto degli insetti dannosi. Esamina le capacità dell’ambiente di abbattere o assimilare la quantità di pesticidi e fertilizzanti utilizzati. Valuta la soglia di intervento confrontando il costo economico e ambientale derivante dall’uso di certe sostanze chimiche con gli eventuali danni diretti provocati dal crittogame oppure dall’intervento dei parassiti e decide quali strategie d’intervento utilizzare. Verifica il livello delle sostanze tossiche ed inquinanti presenti al momento della raccolta per valutarne il grado di tossicità e verificare la riuscita del piano.",4,1,"ADA.01.01.01 ","ADA.01.01.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
